tiempo,Resultado
0.1,0.5
0.2,1
0.3,1.5
0.4,2
0.5,2.5
0.6,3
0.7,3.5
0.8,4
0.9,4.5
1,5
1.1,5.5
1.2,6
1.3,6.5
1.4,7
1.5,7.5
1.6,8
1.7,8.5
1.8,9
1.9,9.5
2,10
2.1,10.5
2.2,11
2.3,11.5
2.4,12
2.5,12.5
2.6,13
2.7,13.5
2.8,14
2.9,14.5
3,15
3.1,15.5
3.2,16
3.3,16.5
3.4,17
3.5,17.5
3.6,18
3.7,18.5
3.8,19
3.9,19.5
4,20
4.1,20.5
4.2,21
4.3,21.5
4.4,22
4.5,22.5
4.6,23
4.7,23.5
4.8,24
4.9,24.5
5,25
5.1,25.5
5.2,26
5.3,26.5
5.4,27
5.5,27.5
5.6,28
5.7,28.5
5.8,29
5.9,29.5
6,30
6.1,30.5
6.2,31
6.3,31.5
6.4,32
6.5,32.5
6.6,33
6.7,33.5
6.8,34
6.9,34.5
7,35
7.1,35.5
7.2,36
7.3,36.5
7.4,37
7.5,37.5
7.6,38
7.7,38.5
7.8,39
7.9,39.5
8,40
8.1,40.5
8.2,41
8.3,41.5
8.4,42
8.5,42.5
8.6,43
8.7,43.5
8.8,44
8.9,44.5
9,45
9.1,45.5
9.2,46
9.3,46.5
9.4,47
9.5,47.5
9.6,48
9.7,48.5
9.8,49
9.9,49.5
